Product,Metric,month,Copyright,Counterfeit,Trademark
Facebook,content_removed,7,"370,118","110,835","25,847"
Facebook,removal_rate,7,80.5%,78.8%,59.3%
Facebook,reports,7,"63,504","6,554","10,804"
Instagram,content_removed,7,"183,418","75,846","22,075"
Instagram,removal_rate,7,88.1%,80.7%,57.5%
Instagram,reports,7,"33,793","5,271","12,438"
Facebook,content_removed,8,"307,979","78,448","19,975"
Facebook,removal_rate,8,84.6%,68.4%,49.9%
Facebook,reports,8,"69,728","9,063","11,515"
Instagram,content_removed,8,"159,333","77,354","26,574"
Instagram,removal_rate,8,85.6%,78.8%,65.4%
Instagram,reports,8,"34,700","5,232","12,167"
Facebook,content_removed,9,"304,182","91,430","23,007"
Facebook,removal_rate,9,84.1%,72.7%,51.7%
Facebook,reports,9,"67,113","9,042","11,476"
Instagram,content_removed,9,"182,244","71,541","19,295"
Instagram,removal_rate,9,88.7%,78.8%,50.6%
Instagram,reports,9,"34,009","2,692","10,701"
Facebook,content_removed,10,"344,138","122,147","22,324"
Facebook,removal_rate,10,80.3%,74.5%,53.1%
Facebook,reports,10,"69,321","11,076","12,669"
Instagram,content_removed,10,"179,158","76,164","26,263"
Instagram,removal_rate,10,87.7%,79.9%,56.7%
Instagram,reports,10,"32,880","3,529","12,060"
Facebook,content_removed,11,"307,784","132,240","24,058"
Facebook,removal_rate,11,80.0%,72.5%,52.3%
Facebook,reports,11,"56,646","9,293","11,397"
Instagram,content_removed,11,"211,159","88,574","23,859"
Instagram,removal_rate,11,85.6%,86.7%,58.7%
Instagram,reports,11,"27,131","5,523","11,525"
Facebook,content_removed,12,"333,072","132,218","23,411"
Facebook,removal_rate,12,78.0%,72.7%,50.9%
Facebook,reports,12,"58,950","5,916","9,159"
Instagram,content_removed,12,"256,730","84,306","27,402"
Instagram,removal_rate,12,92.5%,89.3%,65.9%
Instagram,reports,12,"28,648","4,675","11,212"
