Product,Metric,month,Copyright,Counterfeit,Trademark
Facebook,content_removed,7,315304,36645,13277
Facebook,removal_rate,7,70.19%,83.75%,50.71%
Facebook,reports,7,36765,2824,6659
Instagram,content_removed,7,152067,18693,12409
Instagram,removal_rate,7,63.20%,86.39%,50.32%
Instagram,reports,7,12860,1771,2999
Facebook,content_removed,8,344189,35706,17690
Facebook,removal_rate,8,72.04%,81.55%,53.64%
Facebook,reports,8,41721,2661,7230
Instagram,content_removed,8,166675,16662,9235
Instagram,removal_rate,8,74.58%,82.28%,50.28%
Instagram,reports,8,25115,1614,3035
Facebook,content_removed,9,252103,32741,17880
Facebook,removal_rate,9,65.78%,80.76%,49.65%
Facebook,reports,9,41969,2869,6777
Instagram,content_removed,9,129642,17210,12894
Instagram,removal_rate,9,66.56%,80.56%,53.21%
Instagram,reports,9,18352,1461,3225
Facebook,content_removed,10,384951,58971,21109
Facebook,removal_rate,10,65.76%,78.39%,50.12%
Facebook,reports,10,46230,4295,7233
Instagram,content_removed,10,102088,30213,15622
Instagram,removal_rate,10,68.26%,85.11%,49.19%
Instagram,reports,10,19390,1820,3582
Facebook,content_removed,11,378652,78842,24804
Facebook,removal_rate,11,64.81%,84.19%,50.25%
Facebook,reports,11,45879,3497,7084
Instagram,content_removed,11,140547,40181,22516
Instagram,removal_rate,11,67.86%,81.86%,48.24%
Instagram,reports,11,20353,1709,3702
Facebook,content_removed,12,254021,61816,26165
Facebook,removal_rate,12,69.84%,83.79%,51.62%
Facebook,reports,12,42301,2757,5808
Instagram,content_removed,12,156426,31496,28625
Instagram,removal_rate,12,72.83%,81.31%,50.76%
Instagram,reports,12,22999,1402,3838
