Product,Metric,month,Copyright,Counterfeit,Trademark
Facebook,content_removed,1,341274,33170,19901
Facebook,reports,1,32581,2248,6587
Facebook,removal_rate,1,65.38%,81.94%,46.11%
Instagram,content_removed,1,72999,16105,6282
Instagram,reports,1,8753,1330,2144
Instagram,removal_rate,1,63.66%,90.53%,52.80%
Facebook,content_removed,2,313706,26927,18074
Facebook,reports,2,35135,2180,6654
Facebook,removal_rate,2,64.36%,84.63%,48.39%
Instagram,content_removed,2,93123,15201,5699
Instagram,reports,2,10434,1484,2413
Instagram,removal_rate,2,60.39%,90.77%,56.78%
Facebook,content_removed,3,303439,36496,24470
Facebook,reports,3,37169,2248,7846
Facebook,removal_rate,3,61.54%,79.00%,48.19%
Instagram,content_removed,3,92056,18347,8423
Instagram,reports,3,12186,1707,3036
Instagram,removal_rate,3,62.60%,87.29%,50.86%
Facebook,content_removed,4,306503,42118,16828
Facebook,reports,4,39381,2078,6257
Facebook,removal_rate,4,72.63%,81.52%,48.84%
Instagram,content_removed,4,103313,17452,5145
Instagram,reports,4,11584,1768,2562
Instagram,removal_rate,4,64.90%,76.92%,47.93%
Facebook,content_removed,5,311856,41162,15767
Facebook,reports,5,42079,2665,7210
Facebook,removal_rate,5,72.53%,79.62%,46.84%
Instagram,content_removed,5,136552,17558,5837
Instagram,reports,5,13377,1751,3166
Instagram,removal_rate,5,62.65%,81.72%,42.74%
Facebook,content_removed,6,242016,37392,15937
Facebook,reports,6,38119,2860,7300
Facebook,removal_rate,6,72.13%,80.49%,44.79%
Instagram,content_removed,6,187953,23431,6092
Instagram,reports,6,13674,2191,3242
Instagram,removal_rate,6,69.19%,86.08%,43.95%
