Product,Metric,month,Copyright,Counterfeit,Trademark
Facebook,content_removed,7,"268,189","79,352","15,951"
Facebook,removal_rate,7,66.67%,84.39%,49.16%
Facebook,reports,7,"61,648","3,595","8,088"
Instagram,content_removed,7,"172,862","39,796","17,566"
Instagram,removal_rate,7,68.98%,73.62%,45.02%
Instagram,reports,7,"29,699","3,033","5,327"
Facebook,content_removed,8,"290,977","78,175","15,655"
Facebook,removal_rate,8,71.85%,83.54%,49.71%
Facebook,reports,8,"56,705","3,275","7,979"
Instagram,content_removed,8,"112,901","41,155","24,066"
Instagram,removal_rate,8,66.71%,83.12%,43.19%
Instagram,reports,8,"27,351","2,601","6,486"
Facebook,content_removed,9,"295,310","68,574","16,542"
Facebook,removal_rate,9,75.24%,84.28%,49.31%
Facebook,reports,9,"54,029","3,416","7,505"
Instagram,content_removed,9,"107,673","59,544","8,659"
Instagram,removal_rate,9,68.69%,77.89%,45.53%
Instagram,reports,9,"26,982","3,455","5,879"
Facebook,content_removed,10,"306,747","79,334","19,443"
Facebook,removal_rate,10,76.03%,83.46%,53.65%
Facebook,reports,10,"54,962","4,124","7,896"
Instagram,content_removed,10,"137,398","56,273","20,116"
Instagram,removal_rate,10,64.68%,82.19%,44.68%
Instagram,reports,10,"30,825","4,441","6,491"
Facebook,content_removed,11,"300,940","91,586","22,240"
Facebook,removal_rate,11,75.46%,85.96%,54.61%
Facebook,reports,11,"58,617","13,739","7,338"
Instagram,content_removed,11,"143,695","68,918","19,825"
Instagram,removal_rate,11,65.17%,82.47%,40.03%
Instagram,reports,11,"28,884","5,915","6,166"
Facebook,content_removed,12,"277,793","60,590","17,723"
Facebook,removal_rate,12,76.74%,88.77%,54.97%
Facebook,reports,12,"51,176","9,447","5,758"
Instagram,content_removed,12,"180,925","58,578","18,091"
Instagram,removal_rate,12,67.45%,86.28%,36.59%
Instagram,reports,12,"30,828","5,788","6,330"
