Product,Metric,month,Copyright,Counterfeit,Trademark
Facebook,content_removed,1,"327,464","125,791","30,154"
Facebook,removal_rate,1,80.90%,76.50%,59.90%
Facebook,reports,1,"57,249","11,928","10,189"
Instagram,content_removed,1,"193,510","83,520","29,019"
Instagram,removal_rate,1,89.60%,90.80%,58.90%
Instagram,reports,1,"31,741","6,042","12,391"
Facebook,content_removed,2,"312,246","88,028","24,176"
Facebook,removal_rate,2,86.50%,75.20%,64.00%
Facebook,reports,2,"63,320","11,052","10,475"
Instagram,content_removed,2,"169,295","78,214","25,590"
Instagram,removal_rate,2,89.40%,90.80%,53.40%
Instagram,reports,2,"30,456","5,124","12,290"
Facebook,content_removed,3,"448,607","134,635","33,950"
Facebook,removal_rate,3,82.90%,72.40%,53.70%
Facebook,reports,3,"68,445","7,532","12,236"
Instagram,content_removed,3,"184,627","76,694","31,192"
Instagram,removal_rate,3,90.00%,89.90%,62.20%
Instagram,reports,3,"34,555","3,309","13,527"
Facebook,content_removed,4,"434,623","144,232","42,575"
Facebook,removal_rate,4,83.40%,77.10%,61.40%
Facebook,reports,4,"75,129","10,017","14,019"
Instagram,content_removed,4,"248,126","78,935","36,496"
Instagram,removal_rate,4,85.10%,93.50%,52.20%
Instagram,reports,4,"40,958","6,186","15,482"
Facebook,content_removed,5,"539,199","163,598","38,563"
Facebook,removal_rate,5,80.80%,73.90%,54.50%
Facebook,reports,5,"84,741","10,946","14,319"
Instagram,content_removed,5,"210,761","80,528","35,878"
Instagram,removal_rate,5,83.50%,89.80%,63.40%
Instagram,reports,5,"43,977","6,024","17,803"
Facebook,content_removed,6,"451,304","172,505","41,964"
Facebook,removal_rate,6,82.00%,79.90%,61.30%
Facebook,reports,6,"86,060","11,967","15,859"
Instagram,content_removed,6,"197,055","82,154","34,521"
Instagram,removal_rate,6,87.60%,92.40%,66.60%
Instagram,reports,6,"42,813","7,059","17,720"
